spark.memory.storageFraction,spark.executor.cores,spark.executor.memory,spark.executor.instances,spark.memory.fraction,spark.shuffle.file.buffer,spark.reducer.maxBlocksInFlightPerAddress,spark.default.parallelism,spark.reducer.maxSizeInFlight,spark.executor.memoryOverhead,range,dissimilarity_value,cos_distance,Euclidean_distance,distance
0.57,2.0,5.0,8.0,0.6,42.0,1645391100.0,254.0,61.0,489.0,0.079,0.018,0.988,0.323,169.112
0.56,2.0,5.0,8.0,0.59,42.0,1640492500.0,252.0,61.0,475.0,0.09,0.017,0.985,0.339,168.969
0.58,2.0,5.0,8.0,0.61,43.0,1632244200.0,260.0,60.0,482.0,0.038,0.02,0.993,0.288,168.854
0.57,2.0,5.0,8.0,0.59,43.0,1640986100.0,261.0,60.0,477.0,0.12,0.019,0.989,0.305,167.882
0.55,2.0,5.0,8.0,0.61,43.0,1630384400.0,257.0,63.0,503.0,0.086,0.02,0.989,0.3,167.287
0.57,2.0,5.0,8.0,0.62,43.0,1629195500.0,258.0,61.0,496.0,0.025,0.021,0.993,0.292,165.539
0.55,2.0,5.0,8.0,0.59,42.0,1636257200.0,250.0,62.0,482.0,0.139,0.017,0.984,0.348,163.398
0.55,2.0,5.0,8.0,0.61,43.0,1648899700.0,259.0,64.0,493.0,0.053,0.021,0.99,0.291,160.657
0.54,2.0,5.0,8.0,0.6,43.0,1644322000.0,250.0,63.0,490.0,0.107,0.019,0.987,0.321,160.525
0.57,2.0,5.0,8.0,0.6,42.0,1640476200.0,264.0,61.0,474.0,0.036,0.02,0.99,0.31,160.242
0.55,2.0,5.0,8.0,0.59,43.0,1650157000.0,241.0,62.0,477.0,0.158,0.019,0.987,0.318,160.148
0.56,2.0,5.0,8.0,0.61,43.0,1647848000.0,260.0,59.0,491.0,0.023,0.021,0.995,0.297,157.628
0.56,2.0,5.0,8.0,0.6,42.0,1639374000.0,249.0,63.0,478.0,0.092,0.019,0.986,0.325,157.249
0.57,2.0,5.0,8.0,0.61,42.0,1627622400.0,257.0,62.0,476.0,0.001,0.019,0.989,0.328,156.628
0.57,2.0,5.0,8.0,0.6,42.0,1645214500.0,254.0,62.0,479.0,0.095,0.018,0.985,0.356,156.502
0.57,2.0,5.0,8.0,0.59,43.0,1640047400.0,251.0,61.0,463.0,0.093,0.02,0.987,0.319,156.478
0.55,2.0,5.0,8.0,0.59,42.0,1659542400.0,260.0,62.0,487.0,0.073,0.02,0.987,0.319,156.076
0.55,2.0,5.0,8.0,0.61,42.0,1632298800.0,261.0,62.0,492.0,0.01,0.02,0.99,0.324,156.041
0.56,2.0,5.0,8.0,0.6,42.0,1633167900.0,255.0,63.0,492.0,0.074,0.019,0.987,0.334,155.135
0.57,2.0,5.0,8.0,0.59,42.0,1637985500.0,255.0,60.0,475.0,0.053,0.019,0.987,0.33,154.632
0.56,2.0,5.0,8.0,0.6,42.0,1623955700.0,244.0,62.0,480.0,0.049,0.019,0.985,0.345,152.863
0.56,2.0,5.0,8.0,0.6,43.0,1648329900.0,248.0,62.0,495.0,0.121,0.02,0.987,0.33,152.717
0.55,2.0,5.0,8.0,0.59,42.0,1648227800.0,249.0,62.0,486.0,0.103,0.019,0.985,0.335,152.467
0.54,2.0,5.0,8.0,0.59,43.0,1639941100.0,248.0,63.0,487.0,0.12,0.021,0.988,0.313,152.28
0.56,2.0,5.0,8.0,0.6,42.0,1631868900.0,259.0,62.0,495.0,0.093,0.02,0.987,0.336,150.209
0.56,2.0,5.0,8.0,0.61,43.0,1636650200.0,251.0,64.0,468.0,0.085,0.022,0.988,0.307,149.094
0.57,2.0,5.0,8.0,0.6,42.0,1629685200.0,258.0,60.0,484.0,0.09,0.019,0.985,0.357,149.031
0.57,2.0,5.0,8.0,0.6,43.0,1637349600.0,265.0,59.0,482.0,0.006,0.021,0.993,0.327,145.528
0.55,2.0,5.0,8.0,0.59,43.0,1636076500.0,241.0,63.0,476.0,0.171,0.02,0.986,0.334,144.834
0.56,2.0,5.0,8.0,0.6,42.0,1653282800.0,263.0,60.0,475.0,0.012,0.02,0.988,0.343,144.743
0.56,2.0,5.0,8.0,0.6,42.0,1639121700.0,260.0,63.0,479.0,0.102,0.019,0.983,0.365,144.454
0.56,2.0,5.0,8.0,0.6,42.0,1621908600.0,246.0,62.0,484.0,0.082,0.019,0.983,0.363,144.363
0.57,2.0,5.0,8.0,0.59,42.0,1636135200.0,246.0,61.0,477.0,0.127,0.021,0.986,0.333,143.379
0.56,2.0,5.0,8.0,0.62,43.0,1633720000.0,262.0,63.0,487.0,0.014,0.022,0.991,0.315,142.809
0.56,2.0,5.0,8.0,0.6,42.0,1614652000.0,249.0,63.0,475.0,0.126,0.019,0.984,0.354,142.768
0.57,2.0,5.0,8.0,0.62,44.0,1647968500.0,265.0,60.0,489.0,0.003,0.023,0.995,0.31,142.495
0.57,2.0,5.0,8.0,0.61,42.0,1629471100.0,252.0,61.0,492.0,0.045,0.02,0.988,0.347,141.071
0.56,2.0,5.0,8.0,0.59,42.0,1636206300.0,252.0,62.0,487.0,0.112,0.019,0.983,0.361,140.298
0.55,2.0,5.0,8.0,0.59,42.0,1646158200.0,250.0,63.0,488.0,0.125,0.021,0.985,0.337,140.235
0.56,2.0,5.0,8.0,0.59,42.0,1650703200.0,254.0,62.0,492.0,0.089,0.021,0.986,0.343,139.583
0.56,2.0,5.0,8.0,0.61,42.0,1634543900.0,257.0,64.0,483.0,0.034,0.021,0.987,0.332,139.313
0.56,2.0,5.0,8.0,0.6,42.0,1654119700.0,259.0,62.0,490.0,0.076,0.02,0.984,0.358,138.598
0.57,2.0,5.0,8.0,0.59,42.0,1621407500.0,258.0,60.0,492.0,0.133,0.022,0.986,0.332,137.565
0.56,2.0,5.0,8.0,0.6,41.0,1623647500.0,254.0,62.0,493.0,0.082,0.02,0.983,0.368,136.595
0.55,2.0,5.0,8.0,0.59,43.0,1646762000.0,243.0,63.0,468.0,0.125,0.022,0.986,0.33,136.43
0.55,2.0,5.0,8.0,0.6,41.0,1641471000.0,253.0,63.0,474.0,0.04,0.019,0.982,0.38,136.201
0.56,2.0,5.0,8.0,0.6,41.0,1625888300.0,254.0,62.0,474.0,0.092,0.018,0.979,0.404,136.008
0.56,2.0,5.0,8.0,0.61,42.0,1641371500.0,258.0,62.0,495.0,0.058,0.021,0.988,0.34,135.854
0.57,2.0,5.0,8.0,0.59,42.0,1641075700.0,264.0,61.0,487.0,0.119,0.022,0.987,0.328,135.407
0.56,2.0,5.0,8.0,0.59,42.0,1643708900.0,250.0,62.0,466.0,0.127,0.022,0.985,0.337,134.632
0.56,2.0,5.0,8.0,0.59,41.0,1633246600.0,253.0,61.0,467.0,0.03,0.02,0.983,0.366,133.293
0.56,2.0,5.0,8.0,0.61,43.0,1653604100.0,273.0,61.0,495.0,0.008,0.024,0.994,0.311,131.637
0.55,2.0,5.0,8.0,0.58,43.0,1635978000.0,245.0,63.0,470.0,0.169,0.022,0.985,0.346,131.212
0.58,2.0,5.0,8.0,0.6,42.0,1621981600.0,259.0,62.0,478.0,0.12,0.02,0.982,0.383,131.001
0.56,2.0,5.0,8.0,0.6,41.0,1630787100.0,249.0,62.0,484.0,0.095,0.02,0.982,0.38,128.528
0.56,2.0,5.0,8.0,0.6,42.0,1638319600.0,246.0,62.0,462.0,0.082,0.022,0.984,0.348,127.959
0.57,2.0,5.0,8.0,0.62,42.0,1644628500.0,259.0,62.0,478.0,0.012,0.022,0.988,0.354,125.076
0.55,2.0,5.0,8.0,0.59,41.0,1640349400.0,254.0,63.0,475.0,0.12,0.02,0.98,0.392,125.026
0.58,2.0,5.0,8.0,0.6,42.0,1631875100.0,253.0,59.0,477.0,0.046,0.021,0.985,0.376,124.188
0.57,2.0,5.0,8.0,0.59,42.0,1625472500.0,246.0,60.0,473.0,0.126,0.022,0.983,0.36,121.458
0.55,2.0,5.0,8.0,0.6,40.0,1627318900.0,254.0,63.0,481.0,0.011,0.019,0.978,0.42,121.06
0.56,2.0,5.0,8.0,0.6,40.0,1638035700.0,254.0,61.0,486.0,0.046,0.019,0.979,0.42,119.759
0.57,2.0,5.0,8.0,0.61,41.0,1633706600.0,259.0,62.0,479.0,0.003,0.022,0.986,0.376,119.597
0.57,2.0,5.0,8.0,0.61,43.0,1645737500.0,262.0,59.0,496.0,0.043,0.025,0.992,0.335,119.586
0.56,2.0,5.0,8.0,0.6,41.0,1618087200.0,250.0,62.0,486.0,0.059,0.02,0.979,0.411,119.24
0.57,2.0,5.0,8.0,0.6,41.0,1611743200.0,251.0,62.0,477.0,0.087,0.021,0.98,0.396,119.234
0.56,2.0,5.0,8.0,0.59,42.0,1615241700.0,240.0,62.0,466.0,0.11,0.025,0.986,0.333,119.025
0.55,2.0,5.0,8.0,0.58,41.0,1639941900.0,251.0,62.0,476.0,0.119,0.021,0.98,0.395,118.478
0.57,2.0,5.0,8.0,0.61,42.0,1632351500.0,249.0,62.0,490.0,0.023,0.023,0.987,0.368,117.622
0.56,2.0,5.0,8.0,0.6,41.0,1651635500.0,256.0,63.0,476.0,0.082,0.021,0.979,0.406,116.955
0.57,2.0,5.0,8.0,0.59,42.0,1641681800.0,247.0,60.0,469.0,0.104,0.024,0.984,0.353,116.557
0.54,2.0,5.0,8.0,0.58,42.0,1652121700.0,247.0,63.0,480.0,0.15,0.024,0.985,0.35,116.476
0.54,2.0,5.0,8.0,0.59,42.0,1642717300.0,245.0,63.0,479.0,0.145,0.023,0.982,0.375,116.461
0.57,2.0,5.0,8.0,0.59,42.0,1630286800.0,262.0,59.0,480.0,0.05,0.023,0.985,0.374,116.433
0.57,2.0,5.0,8.0,0.6,42.0,1624570900.0,271.0,61.0,496.0,0.075,0.024,0.988,0.352,115.954
0.57,2.0,5.0,8.0,0.61,42.0,1640395000.0,269.0,60.0,484.0,0.027,0.025,0.992,0.342,115.209
0.57,2.0,5.0,8.0,0.6,41.0,1626029300.0,256.0,62.0,491.0,0.065,0.021,0.98,0.406,114.266
0.55,2.0,5.0,8.0,0.61,43.0,1654167400.0,269.0,61.0,514.0,0.022,0.025,0.991,0.35,113.996
0.57,2.0,5.0,8.0,0.6,41.0,1616187100.0,262.0,61.0,486.0,0.064,0.021,0.981,0.411,113.485
0.56,2.0,5.0,8.0,0.59,41.0,1634816000.0,250.0,63.0,485.0,0.1,0.023,0.982,0.375,111.51
0.59,2.0,5.0,8.0,0.6,43.0,1634704800.0,264.0,58.0,478.0,0.05,0.025,0.989,0.357,110.344
0.58,2.0,5.0,8.0,0.6,41.0,1631474200.0,256.0,60.0,473.0,0.059,0.022,0.982,0.405,110.211
0.58,2.0,5.0,8.0,0.61,41.0,1627701500.0,255.0,61.0,469.0,0.019,0.022,0.982,0.405,109.151
0.56,2.0,5.0,8.0,0.61,42.0,1623104900.0,262.0,62.0,507.0,0.083,0.024,0.984,0.377,107.148
0.58,2.0,5.0,8.0,0.62,42.0,1637560400.0,260.0,61.0,476.0,0.002,0.023,0.988,0.403,107.052
0.57,2.0,5.0,8.0,0.62,41.0,1627819400.0,261.0,62.0,478.0,0.006,0.024,0.987,0.381,106.837
0.57,2.0,5.0,8.0,0.6,41.0,1623702800.0,248.0,62.0,472.0,0.076,0.022,0.979,0.413,106.483
0.57,2.0,5.0,8.0,0.62,41.0,1634202900.0,261.0,62.0,481.0,0.016,0.025,0.985,0.381,104.224
0.59,2.0,5.0,8.0,0.6,43.0,1622083800.0,261.0,58.0,493.0,0.106,0.026,0.988,0.365,103.904
0.56,2.0,5.0,8.0,0.59,41.0,1630466000.0,245.0,62.0,472.0,0.096,0.024,0.979,0.401,102.99
0.57,2.0,5.0,8.0,0.6,40.0,1635214600.0,253.0,62.0,477.0,0.067,0.022,0.977,0.43,102.8
0.56,2.0,5.0,8.0,0.59,40.0,1638250500.0,255.0,61.0,468.0,0.077,0.022,0.975,0.443,101.902
0.55,2.0,5.0,8.0,0.59,41.0,1634783100.0,246.0,63.0,470.0,0.081,0.024,0.979,0.406,101.175
0.57,2.0,5.0,8.0,0.59,42.0,1633558400.0,241.0,62.0,470.0,0.11,0.026,0.981,0.383,100.227
0.58,2.0,5.0,8.0,0.6,41.0,1643162200.0,256.0,60.0,473.0,0.009,0.023,0.98,0.433,99.598
0.56,2.0,5.0,8.0,0.6,40.0,1627414300.0,262.0,62.0,487.0,0.046,0.023,0.979,0.429,99.062
0.58,2.0,5.0,8.0,0.62,42.0,1641614500.0,261.0,60.0,485.0,0.002,0.026,0.991,0.389,98.672
0.59,2.0,5.0,8.0,0.62,42.0,1622615700.0,263.0,60.0,484.0,0.026,0.027,0.992,0.372,98.405
0.57,2.0,5.0,8.0,0.59,41.0,1616678400.0,245.0,62.0,473.0,0.091,0.025,0.979,0.399,96.997
0.59,2.0,5.0,8.0,0.6,41.0,1629025300.0,254.0,59.0,475.0,0.062,0.025,0.983,0.407,96.873
0.57,2.0,5.0,8.0,0.61,41.0,1636511200.0,253.0,62.0,494.0,0.018,0.024,0.983,0.416,96.621
0.56,2.0,5.0,8.0,0.6,40.0,1632469800.0,254.0,63.0,468.0,0.071,0.023,0.976,0.436,96.327
0.58,2.0,5.0,8.0,0.6,41.0,1639820500.0,249.0,62.0,472.0,0.065,0.025,0.979,0.412,96.298
0.57,2.0,5.0,8.0,0.62,42.0,1638075300.0,267.0,60.0,493.0,0.026,0.028,0.992,0.373,95.706
0.57,2.0,5.0,8.0,0.61,42.0,1648064300.0,261.0,60.0,503.0,0.041,0.026,0.986,0.389,95.693
0.57,2.0,5.0,8.0,0.61,40.0,1609586200.0,250.0,61.0,484.0,0.003,0.024,0.98,0.429,95.046
0.57,2.0,5.0,8.0,0.61,42.0,1660791600.0,264.0,62.0,504.0,0.029,0.029,0.988,0.363,94.907
0.56,2.0,5.0,8.0,0.6,41.0,1629495800.0,266.0,63.0,500.0,0.099,0.027,0.983,0.387,94.229
0.58,2.0,5.0,8.0,0.6,41.0,1636224900.0,265.0,60.0,475.0,0.051,0.025,0.983,0.411,94.07
0.59,2.0,5.0,8.0,0.61,42.0,1629099000.0,263.0,60.0,481.0,0.062,0.025,0.984,0.421,93.011
0.57,2.0,5.0,8.0,0.59,43.0,1642603800.0,270.0,58.0,499.0,0.035,0.03,0.99,0.357,92.407
0.58,2.0,5.0,8.0,0.61,42.0,1629642800.0,278.0,61.0,479.0,0.002,0.027,0.989,0.402,90.435
0.58,2.0,5.0,8.0,0.61,40.0,1618275600.0,252.0,61.0,481.0,0.028,0.024,0.977,0.46,88.723
0.58,2.0,5.0,8.0,0.6,41.0,1638263000.0,263.0,60.0,494.0,0.052,0.027,0.984,0.41,88.629
0.57,2.0,5.0,8.0,0.61,40.0,1628455800.0,251.0,62.0,477.0,0.015,0.024,0.976,0.468,86.332
0.57,2.0,5.0,8.0,0.63,42.0,1640484600.0,262.0,62.0,496.0,0.021,0.028,0.988,0.41,85.214
0.56,2.0,5.0,8.0,0.59,40.0,1644909600.0,258.0,63.0,489.0,0.048,0.026,0.976,0.44,84.578
0.58,2.0,5.0,8.0,0.61,40.0,1621028900.0,255.0,62.0,487.0,0.013,0.025,0.978,0.457,84.075
0.58,2.0,5.0,8.0,0.59,41.0,1643986700.0,259.0,60.0,471.0,0.098,0.026,0.975,0.454,82.399
0.59,2.0,5.0,8.0,0.61,41.0,1620416500.0,262.0,60.0,475.0,0.044,0.027,0.982,0.44,82.339
0.59,2.0,5.0,8.0,0.62,41.0,1630738200.0,257.0,61.0,487.0,0.024,0.026,0.981,0.456,81.797
0.57,2.0,5.0,8.0,0.6,41.0,1649704200.0,270.0,58.0,485.0,0.033,0.03,0.987,0.407,80.631
0.58,2.0,5.0,8.0,0.62,40.0,1609025500.0,256.0,61.0,486.0,0.037,0.026,0.979,0.466,79.622
0.57,2.0,5.0,8.0,0.63,41.0,1639141500.0,263.0,62.0,484.0,0.009,0.028,0.986,0.446,78.288
0.59,2.0,5.0,8.0,0.61,42.0,1626669800.0,266.0,59.0,494.0,0.021,0.031,0.987,0.417,77.653
0.58,2.0,5.0,8.0,0.62,43.0,1663623000.0,266.0,59.0,503.0,0.026,0.032,0.992,0.413,74.137
0.59,2.0,5.0,8.0,0.62,42.0,1638696800.0,267.0,59.0,484.0,0.017,0.031,0.989,0.431,73.505
0.58,2.0,5.0,8.0,0.6,42.0,1634407700.0,277.0,60.0,505.0,0.03,0.032,0.986,0.419,72.541
0.58,2.0,5.0,8.0,0.63,43.0,1622226700.0,275.0,59.0,500.0,0.007,0.035,0.995,0.398,72.424
0.59,2.0,5.0,8.0,0.6,40.0,1632021400.0,260.0,59.0,483.0,0.04,0.029,0.977,0.47,72.251
0.57,2.0,5.0,8.0,0.61,42.0,1645045100.0,274.0,59.0,515.0,0.011,0.036,0.991,0.394,70.728
0.57,2.0,5.0,8.0,0.61,39.0,1625034500.0,262.0,62.0,488.0,0.001,0.029,0.972,0.503,67.393
0.6,2.0,5.0,8.0,0.61,41.0,1629257900.0,261.0,59.0,482.0,0.001,0.03,0.981,0.505,64.416
0.59,2.0,5.0,8.0,0.62,42.0,1625730700.0,269.0,58.0,502.0,0.02,0.037,0.992,0.431,62.913
0.59,2.0,5.0,8.0,0.63,43.0,1622235500.0,274.0,59.0,499.0,0.022,0.036,0.994,0.455,61.144
0.57,2.0,5.0,8.0,0.61,38.0,1618445700.0,264.0,61.0,480.0,0.013,0.028,0.964,0.555,60.943
0.59,2.0,5.0,8.0,0.61,41.0,1638994700.0,274.0,58.0,486.0,0.004,0.037,0.984,0.483,55.868
0.6,2.0,5.0,8.0,0.61,40.0,1624900600.0,266.0,58.0,481.0,0.007,0.035,0.98,0.508,54.46
0.6,2.0,5.0,8.0,0.63,42.0,1627801000.0,288.0,57.0,506.0,0.034,0.05,0.99,0.549,35.947
0.62,2.0,5.0,8.0,0.64,39.0,1620059800.0,289.0,56.0,500.0,0.039,0.063,0.978,0.719,21.76
spark.memory.storageFraction,spark.executor.cores,spark.executor.memory,spark.executor.instances,spark.memory.fraction,spark.shuffle.file.buffer,spark.reducer.maxBlocksInFlightPerAddress,spark.default.parallelism,spark.reducer.maxSizeInFlight,spark.executor.memoryOverhead,range,dissimilarity_value,cos_distance,Euclidean_distance,distance
0.54,2.0,5.0,8.0,0.58,42.0,1599083900.0,251.0,62.0,484.0,0.012,0.007,0.996,0.164,918.203
0.54,2.0,5.0,8.0,0.59,42.0,1596073600.0,247.0,62.0,477.0,0.016,0.007,0.996,0.178,860.225
0.56,2.0,5.0,8.0,0.59,42.0,1635059200.0,260.0,63.0,478.0,0.017,0.008,0.997,0.146,821.135
0.55,2.0,5.0,8.0,0.59,41.0,1624134900.0,252.0,63.0,484.0,0.007,0.006,0.995,0.206,811.474
0.55,2.0,5.0,8.0,0.59,41.0,1618943900.0,246.0,62.0,482.0,0.02,0.005,0.992,0.259,759.068
0.55,2.0,5.0,8.0,0.59,43.0,1603739400.0,251.0,63.0,470.0,0.013,0.009,0.997,0.15,751.268
0.55,2.0,5.0,8.0,0.59,43.0,1615008500.0,264.0,62.0,482.0,0.028,0.009,0.997,0.152,707.125
0.55,2.0,5.0,8.0,0.58,43.0,1630758300.0,256.0,63.0,472.0,0.016,0.01,0.998,0.138,687.82
0.55,2.0,5.0,8.0,0.6,43.0,1636158300.0,252.0,63.0,477.0,0.009,0.008,0.995,0.192,686.454
0.54,2.0,5.0,8.0,0.59,42.0,1623991600.0,249.0,64.0,470.0,0.016,0.009,0.996,0.178,642.737
0.55,2.0,5.0,8.0,0.59,43.0,1634615800.0,258.0,61.0,489.0,0.022,0.009,0.996,0.188,604.482
0.54,2.0,5.0,8.0,0.59,41.0,1614807200.0,247.0,62.0,484.0,0.01,0.007,0.993,0.238,585.333
0.56,2.0,5.0,8.0,0.6,42.0,1629303600.0,262.0,63.0,481.0,0.007,0.011,0.996,0.168,562.263
0.54,2.0,5.0,8.0,0.59,43.0,1639522700.0,247.0,63.0,476.0,0.003,0.008,0.994,0.209,561.579
