spark.memory.storageFraction,spark.executor.cores,spark.executor.memory,spark.executor.instances,spark.memory.fraction,spark.shuffle.file.buffer,spark.reducer.maxBlocksInFlightPerAddress,spark.default.parallelism,spark.reducer.maxSizeInFlight,spark.executor.memoryOverhead,range,dissimilarity_value
0.57,4.0,3.0,8.0,0.66,36.0,1630905500.0,394.0,61.0,614.0,0.0,0.2294110824801679
0.61,4.0,3.0,8.0,0.64,37.0,1613851400.0,388.0,62.0,606.0,0.0,0.24973683191969465
0.6,4.0,3.0,8.0,0.64,37.0,1619448700.0,390.0,61.0,613.0,0.0,0.2427108105800815
0.58,4.0,3.0,8.0,0.65,37.0,1616536200.0,397.0,61.0,615.0,0.0,0.2183186852513374
0.57,4.0,3.0,8.0,0.65,36.0,1641791500.0,399.0,62.0,609.0,0.0,0.19345420485472845
0.58,4.0,3.0,8.0,0.64,36.0,1611401700.0,379.0,60.0,605.0,0.0,0.2768527886029176
0.59,4.0,3.0,8.0,0.66,37.0,1631105300.0,394.0,62.0,607.0,0.0,0.21638971141838656
0.57,4.0,3.0,8.0,0.65,36.0,1628123600.0,395.0,63.0,612.0,0.0,0.17864419651697594
0.57,4.0,3.0,8.0,0.66,36.0,1628058000.0,391.0,61.0,608.0,0.0,0.228874204244169
0.6,4.0,3.0,8.0,0.64,37.0,1646414300.0,403.0,64.0,614.0,0.0,0.19755839515076445
0.61,4.0,3.0,8.0,0.65,37.0,1615485300.0,391.0,61.0,614.0,0.0,0.2789819749733284
0.62,4.0,3.0,8.0,0.65,36.0,1602331100.0,369.0,58.0,604.0,0.0,0.4314598605871218
0.57,4.0,3.0,8.0,0.64,37.0,1618829800.0,399.0,61.0,609.0,0.0,0.1773738237921141
0.61,4.0,3.0,8.0,0.66,37.0,1622129700.0,390.0,59.0,616.0,0.0,0.32739320931788657
0.6,4.0,3.0,8.0,0.65,37.0,1625078900.0,396.0,63.0,612.0,0.0,0.21260954946584915
0.58,4.0,3.0,8.0,0.64,37.0,1603743500.0,385.0,60.0,610.0,0.0,0.23766170527758484
0.57,4.0,3.0,8.0,0.67,35.0,1632687900.0,390.0,60.0,615.0,0.0,0.2983800070757513
0.58,4.0,3.0,8.0,0.64,36.0,1613531400.0,386.0,61.0,609.0,0.0,0.23915835593013984
0.58,4.0,3.0,8.0,0.66,36.0,1619576800.0,382.0,61.0,605.0,0.0,0.2806335572201888
0.58,4.0,3.0,8.0,0.67,34.0,1631190700.0,381.0,59.0,619.0,0.0,0.3899364251613017
0.56,4.0,3.0,8.0,0.65,36.0,1615294700.0,396.0,61.0,607.0,0.0004988908767700195,0.19596697286588832
0.56,4.0,3.0,8.0,0.65,35.0,1641490400.0,392.0,62.0,616.0,0.001940608024597168,0.210411231740326
0.57,4.0,3.0,8.0,0.64,37.0,1636542700.0,409.0,64.0,604.0,0.004737973213195801,0.1506680264731347
0.6,4.0,3.0,8.0,0.63,36.0,1615707300.0,383.0,61.0,614.0,0.008313775062561035,0.27551291115322635
0.56,4.0,3.0,8.0,0.65,37.0,1623777000.0,402.0,63.0,603.0,0.0103912353515625,0.15476640749337847
0.58,4.0,3.0,8.0,0.63,36.0,1607032200.0,389.0,62.0,607.0,0.01342916488647461,0.20426950497471116
0.58,4.0,3.0,8.0,0.64,36.0,1624534000.0,386.0,61.0,609.0,0.013495683670043945,0.23244815239638722
0.59,4.0,3.0,8.0,0.63,36.0,1604932500.0,385.0,62.0,604.0,0.013881683349609375,0.23947876201385104
0.57,4.0,3.0,8.0,0.64,36.0,1641878000.0,400.0,63.0,605.0,0.017739415168762207,0.16807047908134476
0.55,4.0,3.0,8.0,0.65,35.0,1644495200.0,394.0,63.0,614.0,0.019252657890319824,0.16963849145020626
0.56,4.0,3.0,8.0,0.65,36.0,1651227100.0,404.0,63.0,608.0,0.020990610122680664,0.17596972108903777
0.6,4.0,3.0,8.0,0.64,37.0,1627985400.0,398.0,64.0,601.0,0.021927237510681152,0.18957684151648838
0.59,4.0,3.0,8.0,0.64,37.0,1639369200.0,398.0,62.0,613.0,0.03142189979553223,0.19124590223421886
0.56,4.0,3.0,8.0,0.65,37.0,1640581900.0,406.0,64.0,609.0,0.034270286560058594,0.1337738571056097
0.59,4.0,3.0,8.0,0.64,37.0,1633380100.0,397.0,63.0,616.0,0.03628134727478027,0.18191645451162347
0.6,4.0,3.0,8.0,0.64,36.0,1641773200.0,391.0,65.0,606.0,0.03867197036743164,0.18966476375682415
0.58,4.0,3.0,8.0,0.64,36.0,1636419500.0,396.0,64.0,610.0,0.04072773456573486,0.16043726933334992
0.57,4.0,3.0,8.0,0.64,37.0,1626594200.0,394.0,64.0,606.0,0.04158627986907959,0.12053450896402626
0.57,4.0,3.0,8.0,0.64,37.0,1629673000.0,399.0,63.0,608.0,0.04288458824157715,0.13834692007533994
0.58,4.0,3.0,8.0,0.64,37.0,1624836400.0,395.0,64.0,604.0,0.047495484352111816,0.1412322930456819
0.57,4.0,3.0,8.0,0.64,36.0,1624786600.0,393.0,62.0,610.0,0.04982900619506836,0.18196482855996615
0.56,4.0,3.0,8.0,0.64,36.0,1627452200.0,397.0,63.0,610.0,0.053058624267578125,0.14608662911710857
0.57,4.0,3.0,8.0,0.64,37.0,1627611400.0,402.0,63.0,610.0,0.055350422859191895,0.15048862517180847
0.58,4.0,3.0,8.0,0.63,36.0,1628293400.0,400.0,64.0,609.0,0.06027483940124512,0.15800200612757812
0.55,4.0,3.0,8.0,0.64,37.0,1644386700.0,409.0,63.0,614.0,0.06259274482727051,0.13255663100873574
0.57,4.0,3.0,8.0,0.64,37.0,1618835100.0,393.0,63.0,599.0,0.06349003314971924,0.15469599600687267
0.55,4.0,3.0,8.0,0.64,37.0,1644415900.0,409.0,62.0,610.0,0.06723129749298096,0.14138009755916417
0.62,4.0,3.0,8.0,0.63,36.0,1645355000.0,392.0,66.0,609.0,0.06730127334594727,0.22492028202321737
0.57,4.0,3.0,8.0,0.63,37.0,1645357600.0,404.0,64.0,614.0,0.0723036527633667,0.12696872876554277
0.56,4.0,3.0,8.0,0.64,37.0,1617755400.0,396.0,62.0,607.0,0.07792019844055176,0.13618163225349422
0.56,4.0,3.0,8.0,0.64,37.0,1614478700.0,396.0,63.0,596.0,0.08562147617340088,0.1408874759822954
0.6,4.0,3.0,8.0,0.63,37.0,1627823700.0,391.0,64.0,609.0,0.08586609363555908,0.1664656749478437
0.58,4.0,3.0,8.0,0.63,36.0,1607058700.0,384.0,62.0,605.0,0.0877993106842041,0.22020104731146833
0.59,4.0,3.0,8.0,0.63,37.0,1643042800.0,402.0,65.0,611.0,0.0885770320892334,0.13791071999001203
0.55,4.0,3.0,8.0,0.64,35.0,1633537800.0,395.0,63.0,608.0,0.0915842056274414,0.142181522015946
0.58,4.0,3.0,8.0,0.63,36.0,1629899500.0,395.0,65.0,610.0,0.09355783462524414,0.13062435584411758
0.56,4.0,3.0,8.0,0.64,36.0,1637092600.0,397.0,63.0,609.0,0.09562015533447266,0.13856244313300242
0.55,4.0,3.0,8.0,0.64,37.0,1630586900.0,404.0,64.0,604.0,0.09601044654846191,0.10390629168733762
0.56,4.0,3.0,8.0,0.64,36.0,1615624700.0,394.0,63.0,603.0,0.10184252262115479,0.15570244039091025
0.6,4.0,3.0,8.0,0.62,37.0,1638371800.0,395.0,64.0,613.0,0.11120021343231201,0.17235804160368104
0.57,4.0,3.0,8.0,0.63,38.0,1625352300.0,402.0,63.0,604.0,0.13819468021392822,0.16630988734986932
0.57,4.0,3.0,8.0,0.63,37.0,1641176800.0,405.0,65.0,612.0,0.14618682861328125,0.10827656717355427
0.55,4.0,3.0,8.0,0.64,36.0,1638208600.0,403.0,63.0,606.0,0.1465301513671875,0.13584850905142096
0.57,4.0,3.0,8.0,0.62,36.0,1627588100.0,393.0,64.0,608.0,0.1815958023071289,0.14619755802148454
0.55,4.0,3.0,8.0,0.63,36.0,1642329300.0,403.0,65.0,610.0,0.20215880870819092,0.0899179022829906
